DHSID,DHSCLUST,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_2010,Rainfall_2015,Travel_Times
ZW201500000287,287,15886.53906,17738.33984,1264.2106099999999,1411.572234,2888.6875,0.024455279,9.0,2490.0,2494.0,66.0625,5.0,0.167654967,0.414773603,0.025311446,0.024444936,1.41061106,1678.8125,87945.82099,48355.47249,213554.6415,480.0,278.0,111.75
ZW201500000288,288,12655.59375,14130.78223,40.28400606,44.97967683,5211.928021,0.002143471,9.0,2714.0,2726.333333,24.42673522,6.0,0.11354709800000001,0.41234933799999995,0.033688456,0.02900137,0.038806631,1502.3161949999999,129979.09,74556.64097000001,44051.25242,691.0833332999999,405.1666667,201.25964009999998
ZW201500000289,289,577770.75,645118.0625,1839.101417,2053.47457,5136.805128,0.508803463,10.0,2475.3,2299.4,66.49226804,7.0,0.06787122,0.297443852,0.018972305,0.023205352999999998,5.07847332,1550.753846,191854.1146,178785.4806,233946.2116,745.2,569.2,13.0874036
ZW201500000290,290,802.3551025,895.0438232000001,2.553975614,2.849012975,3080.822165,0.00013775299999999998,9.0,2451.6,2572.0,30.44072165,5.0,0.09074212,0.26979429,0.027568632000000003,0.026206282999999997,0.00063837,1702.760309,5909.242988,75683.94359,248882.9694,585.7,368.4,240.53865980000003
ZW201500000291,291,6744.147461,7530.272461,21.46728811,23.9696017,3493.6470590000004,0.003151358,10.0,2138.916667,2113.5,30.60613811,6.0,0.12793017,0.444261344,0.044229512,0.039381547,0.0,1633.079284,109221.3154,120040.0675,96090.02135,533.0833333,319.5,262.5012788
ZW201500000292,292,6324.598633,7061.819336,20.13182271,22.47846909,4128.859007999999,0.0,8.0,3197.7,3105.8,27.59580052,6.0,0.194253418,0.517191119,0.08618915099999999,0.11690657900000001,0.0,1802.890339,33780.74728,41483.052639999994,85088.57001,792.1818182,648.9090909,331.1018277
ZW201500000293,293,43879.6875,48994.48438,3491.834583,3898.8571869999996,5315.533332999999,0.772418629,10.0,2898.0,2679.0,81.4,7.0,0.042259868,0.24045440199999998,0.01981182,0.02529116,8.275251116,1553.466667,183992.1598,183463.4675,223780.2798,776.0,611.0,5.0
ZW201500000294,294,18757.02734,20943.42188,59.70547238,66.66498235,3425.1079689999997,0.004996288,8.0,2594.5,2588.583333,40.07474227,5.0,0.106072784,0.363587393,0.025005793,0.028288679,0.061508506,1657.18509,206310.1048,45658.49255,83016.33627,526.1,301.9,117.2938144
ZW201500000295,295,5716.375977000001,6382.700195,18.19578987,20.31676573,4072.836788,1.1599999999999999e-05,5.0,2758.166667,2731.416667,35.44559585,6.0,0.216434436,0.498167249,0.09462220699999999,0.103894536,0.0,1756.800518,123496.4901,51475.58217,104833.681,796.1,569.9,311.9715026
ZW201500000296,296,25473.66797,28442.98438,2027.130088,2263.42078,5175.625,0.5555463939999999,10.0,2908.0,2614.0,74.4375,7.0,0.076271276,0.31477316,0.022076382999999998,0.027373606,6.219332335,1556.8125,189908.2908,191923.5596,225974.6529,757.0,600.0,14.625
